Herd,Year,Visitors,VisEwes,VisRams,VisR,VisRT,VisT
Redbird,2001,1,1,0,1,0,0
Redbird,2002,1,0,1,1,0,0
Redbird,2003,0,0,0,0,0,0
Redbird,2004,0,0,0,0,0,0
Redbird,2005,1,0,1,1,0,0
Redbird,2006,1,0,1,1,0,0
Redbird,2007,0,0,0,0,0,0
Redbird,2008,0,0,0,0,0,0
Redbird,2009,0,0,0,0,0,0
Redbird,2010,0,0,0,0,0,0
Redbird,2011,1,0,1,1,0,0
Redbird,2012,1,0,1,0,0,1
Mountain View,1997,3,3,0,3,0,0
Mountain View,1998,1,1,0,1,0,0
Mountain View,1999,2,1,1,1,0,1
Mountain View,2000,10,5,5,5,0,5
Mountain View,2001,4,2,2,4,0,0
Mountain View,2002,5,1,4,5,0,0
Mountain View,2003,7,2,5,7,0,0
Mountain View,2004,5,0,5,5,0,0
Mountain View,2005,2,0,2,2,0,0
Mountain View,2006,3,1,2,3,0,0
Mountain View,2007,1,0,1,1,0,0
Mountain View,2008,1,1,0,1,0,0
Mountain View,2009,1,0,1,1,0,0
Mountain View,2010,2,0,2,2,0,0
Mountain View,2011,4,0,4,4,0,0
Mountain View,2012,4,0,4,4,0,0
Asotin,1997,0,0,0,0,0,0
Asotin,1998,0,0,0,0,0,0
Asotin,1999,0,0,0,0,0,0
Asotin,2000,0,0,0,0,0,0
Asotin,2001,0,0,0,0,0,0
Asotin,2002,0,0,0,0,0,0
Asotin,2003,0,0,0,0,0,0
Asotin,2004,0,0,0,0,0,0
Asotin,2005,0,0,0,0,0,0
Asotin,2006,0,0,0,0,0,0
Asotin,2007,0,0,0,0,0,0
Asotin,2008,0,0,0,0,0,0
Asotin,2009,0,0,0,0,0,0
Asotin,2010,0,0,0,0,0,0
Asotin,2011,0,0,0,0,0,0
Asotin,2012,0,0,0,0,0,0
